item_id,total_volume
FOODS_3_090,1002529
FOODS_3_586,920242
FOODS_3_252,565299
FOODS_3_555,491287
FOODS_3_714,396172
FOODS_3_587,396119
FOODS_3_694,390001
FOODS_3_226,363082
FOODS_3_202,295689
FOODS_3_723,284333
FOODS_3_120,283104
FOODS_3_635,282134
FOODS_3_808,281879
FOODS_3_377,273289
FOODS_3_541,272624
FOODS_3_080,262650
FOODS_3_318,260598
FOODS_2_360,257119
FOODS_3_234,251160
FOODS_3_681,250018
FOODS_1_218,234594
FOODS_3_376,228551
FOODS_3_607,222594
FOODS_3_099,213577
FOODS_3_319,208357
FOODS_3_752,202238
FOODS_3_295,202031
FOODS_3_804,200598
FOODS_3_501,199847
FOODS_3_491,196627
FOODS_3_462,192125
FOODS_3_711,191364
FOODS_3_282,186791
FOODS_3_007,184962
FOODS_3_547,180254
FOODS_3_030,179917
FOODS_3_811,178034
FOODS_3_281,176754
HOUSEHOLD_1_334,171275
HOUSEHOLD_1_459,170532
FOODS_3_389,169069
FOODS_3_498,166432
FOODS_3_458,165570
FOODS_2_197,162173
FOODS_2_276,158887
FOODS_3_288,158133
FOODS_3_764,153520
HOUSEHOLD_1_521,153340
FOODS_3_412,150568
FOODS_2_128,149465
